"Model","Category","Item","PartNumber","ApplicationId","Scope","RuleIndex","RawRule","SourceFile"
"M3187","C8450","I1","GJA9460BHSDC","139752","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","6","[A23,154,0,0][A155,2901,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","7","[A23,154,0,0][A155,2901,0,0][C,  028939,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","8","[A23,154,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","9","[A23,157,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","10","[A23,154,0,0][A155,2908,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","11","[A23,154,0,0][A155,2908,0,0][C,  024687,0,0][C,  028938,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","12","[A23,154,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","TOP","13","[A23,157,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHSDC","139752","APPLICATION","1","[A155,2932,0,0][A23,154,0,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","6","[A23,154,0,0][A155,2901,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","7","[A23,154,0,0][A155,2901,0,0][C,  028939,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","8","[A23,154,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","9","[A23,157,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","10","[A23,154,0,0][A155,2908,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","11","[A23,154,0,0][A155,2908,0,0][C,  024687,0,0][C,  028938,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","12","[A23,154,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","TOP","13","[A23,157,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJSDC","142208","APPLICATION","1","[A155,2932,0,0][A23,154,0,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","6","[A23,154,0,0][A155,2901,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","7","[A23,154,0,0][A155,2901,0,0][C,  028939,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","8","[A23,154,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","9","[A23,157,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","10","[A23,154,0,0][A155,2908,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","11","[A23,154,0,0][A155,2908,0,0][C,  024687,0,0][C,  028938,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","12","[A23,154,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","TOP","13","[A23,157,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460AJSDC","142155","APPLICATION","1","[A155,2932,0,0][A23,157,0,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","6","[A23,154,0,0][A155,2901,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","7","[A23,154,0,0][A155,2901,0,0][C,  028939,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","8","[A23,154,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","9","[A23,157,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","10","[A23,154,0,0][A155,2908,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","11","[A23,154,0,0][A155,2908,0,0][C,  024687,0,0][C,  028938,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","12","[A23,154,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","TOP","13","[A23,157,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BLLFN","150129","APPLICATION","1","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","6","[A23,154,0,0][A155,2901,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","7","[A23,154,0,0][A155,2901,0,0][C,  028939,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","8","[A23,154,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","9","[A23,157,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","10","[A23,154,0,0][A155,2908,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","11","[A23,154,0,0][A155,2908,0,0][C,  024687,0,0][C,  028938,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","12","[A23,154,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","TOP","13","[A23,157,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJB9460BALFN","156403","APPLICATION","1","[A155,2924,0,0][A23,154,0,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","6","[A23,154,0,0][A155,2901,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","7","[A23,154,0,0][A155,2901,0,0][C,  028939,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","8","[A23,154,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","9","[A23,157,0,0][A155,2901,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","10","[A23,154,0,0][A155,2908,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","11","[A23,154,0,0][A155,2908,0,0][C,  024687,0,0][C,  028938,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","12","[A23,154,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","TOP","13","[A23,157,0,0][A155,2908,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BJLFN","142204","APPLICATION","1","[A155,2924,0,0][A23,154,0,0]","Itm_M3187_C8450_I1_attributes.xml"
"M3187","C8450","I1","GJA9460BHLFN","139748","CATEGORY","1","[A37,615,0,0,1]","pl_id_3187_attributes.xml"
"M3187","C8450","I1","GJA9460BHLFN","139748","TOP","1","[A155,2932,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHLFN","139748","TOP","2","[A155,2932,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHLFN","139748","TOP","3","[A155,2924,0,0][A23,154,0,0][C,  018108,0,0][C,  024686,1,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHLFN","139748","TOP","4","[A155,2924,0,0][A23,154,0,0]","tl_M3187_C8450_attributes.xml"
"M3187","C8450","I1","GJA9460BHLFN","139748","TOP","5","[A155,2924,0,0][A23,157,0,0]","tl_M3187_C8450_attributes.xml"
