"Model","Category","Group","Value","Label","Effect","Scopes","ResolutionStatus","ResolutionSource","EvidenceCount","DiscoveryHits","DiscoveryExactJoins","CandidateLabels","MatchFiles"
"M3187","C8450","A37","615","","INCLUDE","CATEGORY","AMBIGUOUS","MODEL_SOURCE_SEARCH","110","681","74","Coupe | premium sound | Oatmeal | Cashmere | Coffee | Nimbus grey","Itm_M3187_C11144_I1_attributes.xml | Itm_M3187_C11144_I2_attributes.xml | Itm_M3187_C11144_I3_attributes.xml | Itm_M3187_C11150_I1_attributes.xml | Itm_M3187_C11150_I2_attributes.xml | Itm_M3187_C11871_I3_attributes.xml | Itm_M3187_C5681_I1_attributes.xml | Itm_M3187_C5869_I1_attributes.xml | Itm_M3187_C5869_I2_attributes.xml | Itm_M3187_C5869_I3_attributes.xml | Itm_M3187_C5869_I4_attributes.xml | Itm_M3187_C5869_I7_attributes.xml | Itm_M3187_C5889_I11_attributes.xml | Itm_M3187_C6674_I3_attributes.xml | Itm_M3187_C6876_I4_attributes.xml | Itm_M3187_C6876_I5_attributes.xml | Itm_M3187_C6876_I6_attributes.xml | Itm_M3187_C6876_I7_attributes.xml | Itm_M3187_C6921_I16_attributes.xml | Itm_M3187_C6975_I13_attributes.xml | Itm_M3187_C7377_I0_attributes.xml | Itm_M3187_C7377_I1_attributes.xml | Itm_M3187_C7377_I3_attributes.xml | Itm_M3187_C7386_I1_attributes.xml | Itm_M3187_C7386_I2_attributes.xml | Itm_M3187_C7386_I3_attributes.xml | Itm_M3187_C7386_I5_attributes.xml | Itm_M3187_C7504_I10_attributes.xml | Itm_M3187_C7504_I11_attributes.xml | Itm_M3187_C7504_I2_attributes.xml | Itm_M3187_C7504_I3_attributes.xml | Itm_M3187_C7504_I4_attributes.xml | Itm_M3187_C7504_I5_attributes.xml | Itm_M3187_C7504_I6_attributes.xml | Itm_M3187_C7504_I7_attributes.xml | Itm_M3187_C7504_I8_attributes.xml | Itm_M3187_C7504_I9_attributes.xml | Itm_M3187_C7580_I1_attributes.xml | Itm_M3187_C7580_I2_attributes.xml | Itm_M3187_C7580_I3_attributes.xml | Itm_M3187_C7580_I4_attributes.xml | Itm_M3187_C7581_I1_attributes.xml | Itm_M3187_C7581_I2_attributes.xml | Itm_M3187_C7581_I3_attributes.xml | Itm_M3187_C7581_I4_attributes.xml | Itm_M3187_C7636_I6_attributes.xml | Itm_M3187_C7636_I8_attributes.xml | Itm_M3187_C7638_I5_attributes.xml | Itm_M3187_C7704_I3_attributes.xml | Itm_M3187_C7704_I5_attributes.xml | Itm_M3187_C7704_I6_attributes.xml | Itm_M3187_C7704_I7_attributes.xml | Itm_M3187_C7704_I9_attributes.xml | Itm_M3187_C7708_I1_attributes.xml | Itm_M3187_C7896_I11_attributes.xml | Itm_M3187_C7896_I2_attributes.xml | Itm_M3187_C7896_I4_attributes.xml | Itm_M3187_C7896_I5_attributes.xml | Itm_M3187_C7896_I7_attributes.xml | Itm_M3187_C7916_I4_attributes.xml | Itm_M3187_C7916_I5_attributes.xml | Itm_M3187_C7916_I6_attributes.xml | Itm_M3187_C7946_I4_attributes.xml | Itm_M3187_C7964_I1_attributes.xml | Itm_M3187_C8032_I1_attributes.xml | Itm_M3187_C8057_I8_attributes.xml | Itm_M3187_C8132_I8_attributes.xml | Itm_M3187_C8177_I1_attributes.xml | Itm_M3187_C8177_I2_attributes.xml | Itm_M3187_C8226_I3_attributes.xml | Itm_M3187_C8294_I1_attributes.xml | Itm_M3187_C8307_I1_attributes.xml | Itm_M3187_C8307_I3_attributes.xml | Itm_M3187_C8365_I0_attributes.xml | Itm_M3187_C8365_I1_attributes.xml | Itm_M3187_C8365_I2_attributes.xml | Itm_M3187_C8375_I1_attributes.xml | Itm_M3187_C8402_I1_attributes.xml | Itm_M3187_C8402_I17_attributes.xml | Itm_M3187_C8402_I5_attributes.xml | Itm_M3187_C8420_I4_attributes.xml | Itm_M3187_C8420_I5_attributes.xml | Itm_M3187_C8420_I6_attributes.xml | Itm_M3187_C8442_I1_attributes.xml | Itm_M3187_C8492_I1_attributes.xml | Itm_M3187_C8492_I3_attributes.xml | Itm_M3187_C8492_I5_attributes.xml | Itm_M3187_C8630_I2_attributes.xml | Itm_M3187_C8662_I1_attributes.xml | Itm_M3187_C8662_I2_attributes.xml | Itm_M3187_C8662_I3_attributes.xml | Itm_M3187_C8662_I5_attributes.xml | Itm_M3187_C8713_I4_attributes.xml | Itm_M3187_C8771_I1_attributes.xml | Itm_M3187_C8771_I2_attributes.xml | Itm_M3187_C8771_I6_attributes.xml | Itm_M3187_C9713_I1_attributes.xml | Itm_M3187_C9713_I3_attributes.xml | pl_id_3187_attributes.xml | tl_M3187_C11144_attributes.xml | tl_M3187_C11150_attributes.xml | tl_M3187_C11871_attributes.xml | tl_M3187_C5681_attributes.xml | tl_M3187_C5869_attributes.xml | tl_M3187_C5889_attributes.xml | tl_M3187_C6674_attributes.xml | tl_M3187_C6876_attributes.xml | tl_M3187_C6921_attributes.xml | tl_M3187_C6975_attributes.xml | tl_M3187_C7377_attributes.xml | tl_M3187_C7386_attributes.xml | tl_M3187_C7504_attributes.xml | tl_M3187_C7580_attributes.xml | tl_M3187_C7581_attributes.xml | tl_M3187_C7636_attributes.xml | tl_M3187_C7638_attributes.xml | tl_M3187_C7704_attributes.xml | tl_M3187_C7708_attributes.xml | tl_M3187_C7896_attributes.xml | tl_M3187_C7916_attributes.xml | tl_M3187_C7946_attributes.xml | tl_M3187_C7964_attributes.xml | tl_M3187_C8032_attributes.xml | tl_M3187_C8057_attributes.xml | tl_M3187_C8132_attributes.xml | tl_M3187_C8177_attributes.xml | tl_M3187_C8226_attributes.xml | tl_M3187_C8294_attributes.xml | tl_M3187_C8307_attributes.xml | tl_M3187_C8365_attributes.xml | tl_M3187_C8375_attributes.xml | tl_M3187_C8402_attributes.xml | tl_M3187_C8420_attributes.xml | tl_M3187_C8442_attributes.xml | tl_M3187_C8492_attributes.xml | tl_M3187_C8630_attributes.xml | tl_M3187_C8662_attributes.xml | tl_M3187_C8713_attributes.xml | tl_M3187_C8771_attributes.xml | tl_M3187_C9713_attributes.xml"
"M3187","C8450","A155","2932","Coffee","INCLUDE","APPLICATION | TOP","EXACT_LOCAL_JOIN","LOCAL_CATEGORY","254","0","0","Coffee","Itm_M3187_C8450_I1_attributes.xml | Itm_M3187_C8450_I2_attributes.xml | Itm_M3187_C8450_I4_attributes.xml | Itm_M3187_C8450_I7_attributes.xml | Itm_M3187_C8450_I8_attributes.xml | tl_M3187_C8450_attributes.xml"
"M3187","C8450","A23","154","Oatmeal","INCLUDE","APPLICATION | TOP","EXACT_LOCAL_JOIN","LOCAL_CATEGORY","844","0","0","Oatmeal","Itm_M3187_C8450_I1_attributes.xml | Itm_M3187_C8450_I2_attributes.xml | Itm_M3187_C8450_I7_attributes.xml | Itm_M3187_C8450_I8_attributes.xml | tl_M3187_C8450_attributes.xml"
"M3187","C8450","A23","157","","INCLUDE","APPLICATION | TOP","AMBIGUOUS","MODEL_SOURCE_SEARCH","1064","567","39","RHD | 4.0 Litre supercharged | Except Adaptive speed control | Cashmere | Ivory","Itm_M3187_C11100_I1_attributes.xml | Itm_M3187_C11100_I2_attributes.xml | Itm_M3187_C11100_I3_attributes.xml | Itm_M3187_C11100_I5_attributes.xml | Itm_M3187_C11100_I6_attributes.xml | Itm_M3187_C11100_I7_attributes.xml | Itm_M3187_C11100_I8_attributes.xml | Itm_M3187_C11123_I1_attributes.xml | Itm_M3187_C11137_I1_attributes.xml | Itm_M3187_C11865_I1_attributes.xml | Itm_M3187_C11865_I2_attributes.xml | Itm_M3187_C11869_I1_attributes.xml | Itm_M3187_C12091_I1_attributes.xml | Itm_M3187_C12091_I2_attributes.xml | Itm_M3187_C12091_I4_attributes.xml | Itm_M3187_C3567_I1_attributes.xml | Itm_M3187_C4247_I0_attributes.xml | Itm_M3187_C4247_I1_attributes.xml | Itm_M3187_C4247_I2_attributes.xml | Itm_M3187_C4572_I1_attributes.xml | Itm_M3187_C5889_I7_attributes.xml | Itm_M3187_C6673_I1_attributes.xml | Itm_M3187_C6673_I2_attributes.xml | Itm_M3187_C6674_I2_attributes.xml | Itm_M3187_C6728_I15_attributes.xml | Itm_M3187_C6728_I16_attributes.xml | Itm_M3187_C6728_I17_attributes.xml | Itm_M3187_C6728_I2_attributes.xml | Itm_M3187_C6728_I6_attributes.xml | Itm_M3187_C6795_I0_attributes.xml | Itm_M3187_C6795_I13_attributes.xml | Itm_M3187_C6795_I14_attributes.xml | Itm_M3187_C6948_I11_attributes.xml | Itm_M3187_C6975_I8_attributes.xml | Itm_M3187_C7055_I5_attributes.xml | Itm_M3187_C7055_I6_attributes.xml | Itm_M3187_C7181_I1_attributes.xml | Itm_M3187_C7271_I6_attributes.xml | Itm_M3187_C7816_I1_attributes.xml | Itm_M3187_C7816_I2_attributes.xml | Itm_M3187_C7816_I3_attributes.xml | Itm_M3187_C7816_I4_attributes.xml | Itm_M3187_C7816_I5_attributes.xml | Itm_M3187_C7820_I3_attributes.xml | Itm_M3187_C7863_I1_attributes.xml | Itm_M3187_C7863_I4_attributes.xml | Itm_M3187_C8069_I1_attributes.xml | Itm_M3187_C8070_I1_attributes.xml | Itm_M3187_C8078_I1_attributes.xml | Itm_M3187_C8132_I1_attributes.xml | Itm_M3187_C8132_I6_attributes.xml | Itm_M3187_C8133_I1_attributes.xml | Itm_M3187_C8133_I2_attributes.xml | Itm_M3187_C8189_I1_attributes.xml | Itm_M3187_C8189_I11_attributes.xml | Itm_M3187_C8323_I1_attributes.xml | Itm_M3187_C8323_I3_attributes.xml | Itm_M3187_C8411_I1_attributes.xml | Itm_M3187_C8411_I2_attributes.xml | Itm_M3187_C8411_I7_attributes.xml | Itm_M3187_C8411_I8_attributes.xml | Itm_M3187_C8415_I1_attributes.xml | Itm_M3187_C8442_I3_attributes.xml | Itm_M3187_C8450_I1_attributes.xml | Itm_M3187_C8450_I2_attributes.xml | Itm_M3187_C8450_I7_attributes.xml | Itm_M3187_C8450_I8_attributes.xml | Itm_M3187_C8463_I1_attributes.xml | Itm_M3187_C8463_I2_attributes.xml | Itm_M3187_C8475_I0_attributes.xml | Itm_M3187_C8475_I1_attributes.xml | Itm_M3187_C8475_I8_attributes.xml | Itm_M3187_C8479_I1_attributes.xml | Itm_M3187_C8483_I1_attributes.xml | Itm_M3187_C8483_I2_attributes.xml | Itm_M3187_C8485_I1_attributes.xml | Itm_M3187_C8485_I2_attributes.xml | Itm_M3187_C8485_I4_attributes.xml | Itm_M3187_C9192_I1_attributes.xml | Itm_M3187_C9192_I3_attributes.xml | Itm_M3187_C9192_I5_attributes.xml | pl_id_3187_attributes.xml | tl_M3187_C11100_attributes.xml | tl_M3187_C11123_attributes.xml | tl_M3187_C11137_attributes.xml | tl_M3187_C11865_attributes.xml | tl_M3187_C11869_attributes.xml | tl_M3187_C12091_attributes.xml | tl_M3187_C3567_attributes.xml | tl_M3187_C4247_attributes.xml | tl_M3187_C4572_attributes.xml | tl_M3187_C5889_attributes.xml | tl_M3187_C6673_attributes.xml | tl_M3187_C6674_attributes.xml | tl_M3187_C6728_attributes.xml | tl_M3187_C6795_attributes.xml | tl_M3187_C6948_attributes.xml | tl_M3187_C6975_attributes.xml | tl_M3187_C7055_attributes.xml | tl_M3187_C7181_attributes.xml | tl_M3187_C7271_attributes.xml | tl_M3187_C7816_attributes.xml | tl_M3187_C7820_attributes.xml | tl_M3187_C7863_attributes.xml | tl_M3187_C8069_attributes.xml | tl_M3187_C8070_attributes.xml | tl_M3187_C8078_attributes.xml | tl_M3187_C8132_attributes.xml | tl_M3187_C8133_attributes.xml | tl_M3187_C8189_attributes.xml | tl_M3187_C8323_attributes.xml | tl_M3187_C8411_attributes.xml | tl_M3187_C8415_attributes.xml | tl_M3187_C8442_attributes.xml | tl_M3187_C8450_attributes.xml | tl_M3187_C8463_attributes.xml | tl_M3187_C8475_attributes.xml | tl_M3187_C8483_attributes.xml | tl_M3187_C8485_attributes.xml | tl_M3187_C9192_attributes.xml"
"M3187","C8450","A155","2924","Flint grey","INCLUDE","APPLICATION | TOP","EXACT_LOCAL_JOIN","LOCAL_CATEGORY","492","0","0","Flint grey","Itm_M3187_C8450_I1_attributes.xml | Itm_M3187_C8450_I2_attributes.xml | Itm_M3187_C8450_I4_attributes.xml | Itm_M3187_C8450_I7_attributes.xml | tl_M3187_C8450_attributes.xml"
"M3187","C8450","A155","2901","Sable","INCLUDE","APPLICATION | TOP","EXACT_LOCAL_JOIN","LOCAL_CATEGORY","488","0","0","Sable","Itm_M3187_C8450_I1_attributes.xml | Itm_M3187_C8450_I2_attributes.xml | Itm_M3187_C8450_I4_attributes.xml | Itm_M3187_C8450_I7_attributes.xml | tl_M3187_C8450_attributes.xml"
"M3187","C8450","A155","2908","Teal","INCLUDE","APPLICATION | TOP","EXACT_LOCAL_JOIN","LOCAL_CATEGORY","552","0","0","Teal","Itm_M3187_C8450_I1_attributes.xml | Itm_M3187_C8450_I2_attributes.xml | Itm_M3187_C8450_I4_attributes.xml | Itm_M3187_C8450_I7_attributes.xml | Itm_M3187_C8450_I8_attributes.xml | tl_M3187_C8450_attributes.xml"
"M3187","C8450","A155","2923","Shadow grey","INCLUDE","APPLICATION | TOP","EXACT_LOCAL_JOIN","LOCAL_CATEGORY","7","0","0","Shadow grey","Itm_M3187_C8450_I4_attributes.xml | tl_M3187_C8450_attributes.xml"
"M3187","C8450","A156","2816","Coffee","INCLUDE","APPLICATION | TOP","EXACT_LOCAL_JOIN","LOCAL_CATEGORY","7","0","0","Coffee","Itm_M3187_C8450_I4_attributes.xml | tl_M3187_C8450_attributes.xml"
"M3187","C8450","A155","2909","Green","INCLUDE","APPLICATION | TOP","EXACT_LOCAL_JOIN","LOCAL_CATEGORY","7","0","0","Green","Itm_M3187_C8450_I4_attributes.xml | tl_M3187_C8450_attributes.xml"
