"Description","IsVin","OccurrenceCount","PartCount"
"Cashmere","False","2","2"
"Coffee","False","15","14"
"Cream","False","2","2"
"Flint grey","False","26","26"
"Green","False","1","1"
"Ivory","False","2","2"
"LH","False","40","40"
"LH front floor","False","11","11"
"LHD","False","52","52"
"main floor","False","64","64"
"Oatmeal","False","2","2"
"Other Option","False","24","24"
"RH","False","37","37"
"RH front floor","False","11","11"
"RHD","False","48","48"
"Sable","False","26","26"
"Shadow grey","False","1","1"
"Teal","False","28","28"
"Warm charcoal","False","4","3"
"From VIN (003250) To VIN (018107)","True","4","4"
"From VIN (018108)","True","4","4"
"From VIN (018108) To VIN (024686)","True","8","8"
"From VIN (024687)","True","6","6"
"From VIN (024687) To VIN (028938)","True","4","4"
"From VIN (028939)","True","4","4"
"To VIN (003249)","True","4","4"
"To VIN (018107)","True","8","8"
"To VIN (024686)","True","6","6"
